Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-0,728363037;9,852127075;1,318084717;9,966557477
0,003997803;-0,735549927;9,844955444;1,025985718;9,925564371
0,008026123;-0,757095337;9,825790405;0,693191528;9,879264392
0,012054444;-0,781036377;9,806640625;0,343643188;9,84369386
0,016082764;-0,785827637;9,792282104;0,041976929;9,823852399
0,020111084;-0,766662598;9,799453735;-0,15435791;9,830609921
0,024108887;-0,749908447;9,792282104;-0,26210022;9,824451538
0,028137207;-0,745117188;9,777908325;-0,27406311;9,810086719
0,03213501;-0,737945557;9,765945435;-0,20942688;9,796025393
0,03616333;-0,728363037;9,753967285;-0,060974121;9,781314245
0,040161133;-0,737945557;9,751571655;0,118591309;9,780172662
0,044189453;-0,769058228;9,720443726;0,298156738;9,755376683
0,048187256;-0,783432007;9,703689575;0,465744019;9,746398031
0,052215576;-0,778640747;9,698898315;0,650100708;9,751796802
0,056213379;-0,771453857;9,689331055;0,839233398;9,75615652
0,060211182;-0,749908447;9,674957275;1,004440308;9,755821918
0,064239502;-0,735549927;9,667770386;1,145690918;9,763166782
0,068237305;-0,711608887;9,674957275;1,270202637;9,783894942
0,072235108;-0,694839478;9,672561646;1,363571167;9,792883999
0,07623291;-0,711608887;9,665390015;1,375534058;9,788679445
0,080261231;-0,716384888;9,658203125;1,308502197;9,772731088
0,084259033;-0,718780518;9,658203125;1,207946777;9,759952277
0,088256836;-0,713989258;9,658203125;1,100204468;9,746851704
0,092254639;-0,713989258;9,665390015;0,999649048;9,743143385
0,096221924;-0,706817627;9,677352905;0,903884888;9,74514024
0,100189209;-0,692443848;9,684539795;0,844024658;9,745879496
0,104187012;-0,690048218;9,689331055;0,817687988;9,748226325
0,108154297;-0,687652588;9,677352905;0,798538208;9,734561552
0,1121521;-0,692443848;9,660598755;0,772201538;9,71611764
0,116119385;-0,704421997;9,648620605;0,731506348;9,701916897
0,120117188;-0,694839478;9,636657715;0,712341309;9,687899873
0,124084473;-0,694839478;9,634262085;0,707565308;9,685166828
0,128082276;-0,690048218;9,643829346;0,697982788;9,693646938
0,132049561;-0,692443848;9,651016235;0,705169678;9,701487367
0,136047364;-0,690048218;9,653411865;0,738677979;9,706192474
0,140014649;-0,704421997;9,655807495;0,776992798;9,712597312
0,144012451;-0,752304077;9,643829346;0,800933838;9,706230004
0,147979737;-0,802581787;9,622283936;0,808120728;9,689455339
0,151977539;-0,860046387;9,607925415;0,822479248;9,681341988
0,155944824;-0,903137207;9,607925415;0,824874878;9,685468815
0,159942627;-0,915115356;9,619888306;0,812896729;9,697447511
0,16394043;-0,915115356;9,624679565;0,786560059;9,70002936
0,167907715;-0,915115356;9,634262085;0,784179688;9,709344974
0,171905518;-0,900741577;9,639053345;0,808120728;9,7147179
0,175872803;-0,903137207;9,639053345;0,817687988;9,715740828
0,179870606;-0,910324097;9,629470825;0,803329468;9,705706392
0,183868408;-0,917510986;9,624679565;0,772201538;9,699101936
0,187835694;-0,910324097;9,629470825;0,745864868;9,701119149
0,191833496;-0,895950317;9,629470825;0,724319458;9,698147969
0,195831299;-0,886383057;9,631866455;0,705169678;9,698236469
0,199798584;-0,862442017;9,648620605;0,712341309;9,713244358
0,203796387;-0,819335938;9,658203125;0,753051758;9,722102958
0,20779419;-0,790603638;9,665390015;0,832061768;9,733300829
0,211761475;-0,781036377;9,667770386;0,903884888;9,741294059
0,215759278;-0,773849487;9,670166016;0,949371338;9,747423236
0,21975708;-0,773849487;9,662994385;0,978103638;9,74315094
0,223724365;-0,781036377;9,655807495;0,994857788;9,738294421
0,227722168;-0,781036377;9,655807495;0,997253418;9,738539448
