Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
0.00;8.600;170.510;169.930;169.352;163.406;171.133;165.156
4.41;8.600;169.800;170.300;169.812;163.104;172.079;164.030
8.85;8.600;170.500;170.940;171.064;166.726;173.268;168.365
13.32;8.600;168.620;168.570;171.320;168.368;173.222;171.216
17.83;8.600;167.980;168.820;168.866;170.360;173.111;169.748
22.36;8.600;169.020;173.490;168.252;172.164;171.765;172.028
26.93;8.600;172.080;173.545;169.050;171.318;172.846;172.973
31.51;8.600;173.660;174.995;172.070;173.652;176.293;173.291
36.12;8.600;173.380;176.180;175.296;175.072;175.556;177.665
40.76;8.600;174.180;175.190;174.896;174.120;175.928;175.763
45.41;8.600;175.060;176.210;175.198;176.256;178.112;175.991
50.09;8.600;176.509;178.060;177.004;176.692;179.280;178.425
54.80;8.600;176.672;177.890;177.612;177.778;179.664;179.034
59.53;8.600;177.481;179.730;178.760;178.878;181.020;179.584
64.29;8.600;178.399;180.910;179.656;180.566;181.816;180.570
69.08;8.600;179.499;181.030;180.360;180.992;181.988;181.473
73.90;8.600;180.446;181.660;181.516;181.196;183.848;183.197
78.74;8.600;179.981;184.830;182.648;184.630;184.892;184.947
83.62;8.600;181.034;184.260;182.448;182.838;186.452;184.321
88.52;8.600;183.391;184.990;183.860;184.662;188.102;184.785
93.44;8.600;183.246;186.600;187.520;186.680;187.508;187.225
98.39;8.600;183.294;185.850;185.456;185.017;186.344;186.524
103.42;8.600;188.931;187.590;187.952;186.683;190.811;185.918
108.42;8.600;185.308;190.750;192.150;189.571;189.499;192.205
113.45;8.600;186.661;187.930;188.797;187.818;190.331;188.908
118.50;8.600;189.237;190.950;189.870;191.364;192.153;192.292
123.58;8.600;188.528;191.360;190.654;190.806;193.096;192.303
128.67;8.600;187.980;191.100;190.962;192.087;191.808;192.397
133.79;8.600;189.926;192.290;191.724;192.595;194.297;193.273
138.93;8.600;191.128;194.630;192.870;192.996;194.961;194.173
144.09;8.600;190.580;192.540;193.654;194.287;194.391;194.006
149.27;8.600;192.440;195.530;193.854;194.696;196.475;195.455
154.48;8.600;192.980;195.090;194.243;194.205;197.061;196.567
159.71;8.600;193.972;197.230;195.521;196.378;201.624;195.727
164.97;8.600;194.696;200.570;196.768;200.360;197.776;202.587
170.26;8.600;194.036;196.340;196.167;196.242;200.667;196.883
175.58;8.600;199.944;201.300;199.050;200.358;204.680;200.192
180.92;8.600;197.056;201.930;201.647;201.885;200.040;203.695
186.29;8.600;197.820;199.700;198.773;198.237;201.608;199.435
191.68;8.600;199.128;201.430;199.888;201.665;203.892;199.861
197.09;8.600;198.380;200.880;202.695;202.591;201.964;201.249
202.53;8.600;199.356;201.740;201.546;202.996;202.632;196.838
207.98;8.600;200.056;203.090;201.751;203.396;204.176;193.984
213.46;8.600;200.764;203.890;203.051;203.697;204.959;189.050
218.96;8.600;201.596;203.850;204.054;203.898;205.609;184.923
224.48;8.600;202.836;204.530;204.254;203.801;206.904;178.495
230.03;8.600;204.048;206.690;202.996;197.464;207.358;175.584
235.60;8.600;199.928;207.350;199.281;196.905;206.626;176.955
241.18;8.600;198.916;205.800;197.988;196.306;208.650;167.397
246.78;8.600;196.496;203.630;192.388;185.509;208.828;171.756
252.40;8.600;192.560;199.910;187.679;184.509;202.436;160.163
258.00;8.600;187.044;195.840;184.380;183.114;198.046;161.643
263.58;8.600;181.604;189.750;178.839;178.348;191.040;153.843
269.12;8.600;178.741;179.330;175.241;180.676;184.715;152.436
274.59;8.600;175.188;170.760;173.973;179.710;183.630;151.818
279.99;8.600;173.588;172.330;173.738;177.324;183.260;143.555
285.30;8.600;171.617;173.160;172.220;174.825;174.785;145.434
290.51;8.600;165.410;170.390;168.490;168.068;175.935;144.239
295.63;8.600;167.864;172.250;166.246;167.400;175.550;142.357
300.66;8.600;163.127;165.260;164.858;166.300;169.875;140.457
305.60;8.600;159.206;161.530;160.177;164.400;146.290;140.691
310.46;8.600;155.083;148.120;152.361;148.700;151.735;138.857
315.24;8.600;152.228;154.420;144.896;151.400;151.020;138.121
319.94;8.600;152.243;152.460;154.593;155.400;145.160;137.130
324.56;8.600;147.346;149.070;149.926;145.000;138.845;135.548
329.14;8.600;145.104;146.130;145.148;147.600;140.365;134.433
333.59;8.600;142.465;146.160;144.612;144.400;130.552;132.751
337.97;8.600;141.727;143.710;144.004;138.400;137.756;132.603
342.27;8.600;138.107;141.020;141.252;130.300;141.516;132.212
346.50;8.600;138.046;139.840;139.764;127.700;140.472;130.842
350.66;8.600;135.538;135.740;137.388;124.000;141.292;130.121
354.75;8.600;129.386;136.140;133.304;128.200;135.620;129.421
358.78;8.600;129.050;136.410;132.464;131.200;133.576;128.333
362.75;8.600;126.568;135.620;131.320;129.100;134.408;127.815
366.65;8.600;124.638;135.620;129.732;129.500;136.196;127.994
370.50;8.600;126.566;133.990;126.212;130.100;135.786;127.418
374.30;8.600;123.032;134.020;121.752;129.100;134.936;129.631
378.05;8.600;125.124;135.350;117.736;128.200;133.960;129.603
381.75;8.600;125.458;137.460;115.084;127.700;132.792;129.115
385.39;8.600;124.734;136.300;116.028;127.000;131.340;127.936
388.99;8.600;123.838;137.020;117.760;131.300;130.764;128.188
392.53;8.600;126.036;135.010;117.792;131.200;129.787;129.752
396.03;8.600;126.720;131.560;118.436;131.900;128.770;130.770
399.49;8.600;128.576;132.230;117.388;129.700;127.272;130.703
402.92;8.600;128.254;133.370;119.788;129.900;126.710;132.446
406.32;8.600;129.130;133.040;126.000;129.500;126.360;131.724
409.70;8.600;129.540;132.480;124.368;127.200;124.640;130.730
413.06;8.600;128.582;132.220;124.632;126.800;124.051;130.506
416.41;8.600;128.360;131.480;124.452;130.600;126.241;130.306
419.74;8.600;129.204;131.230;124.932;128.100;126.451;131.658
423.07;8.600;127.718;130.550;124.472;129.600;126.441;131.215
426.39;8.600;127.976;130.140;124.680;126.300;126.492;132.752
429.74;8.600;127.660;130.520;125.008;127.500;126.915;134.255
433.11;8.600;128.550;130.640;124.168;127.400;126.253;136.240
436.49;8.600;127.635;130.070;124.824;129.000;126.432;135.912
